昏,26127,9
易,26131,8
昔,26132,8
星,26143,9
映,26144,9
春,26149,9
昧,26151,9
昨,26152,9
昭,26157,9
是,26159,9
昼,26172,9
時,26178,10
晋,26187,10
晏,26191,10
晦,26214,11
晨,26216,11
晩,26217,12
普,26222,12
景,26223,12
晰,26224,12
晴,26228,12
晶,26230,13
智,26234,12
暁,26241,13
暇,26247,13
暉,26249,13
暖,26262,13
暗,26263,13
暢,26274,14
暦,26278,14
暮,26286,15
暴,26292,15
曖,26326,17
曠,26336,18
曲,26354,6
曳,26355,6
更,26356,7
書,26360,10
曼,26364,11
曾,26366,12
替,26367,12
最,26368,12
月,26376,4
有,26377,6
朋,26379,8
服,26381,8
朔,26388,9
朗,26391,11
望,26395,11
朝,26397,12
期,26399,12
朦,26406,17
朧,26407,20
木,26408,4
未,26410,5
末,26411,5
本,26412,5
朮,26414,5
朱,26417,6
朴,26420,6
朶,26422,6
机,26426,6
朽,26429,6
李,26446,7
杏,26447,7
材,26448,7
村,26449,7
杓,26451,7
杖,26454,7
杜,26460,8
杞,26462,7
束,26463,7
条,26465,7
来,26469,7
杯,26479,8
東,26481,8
杵,26485,8
杼,26492,8
松,26494,8
板,26495,8
枉,26505,8
析,26512,8
枕,26517,9
林,26519,8
枘,26520,8
枚,26522,8
果,26524,8
枝,26525,8
枢,26530,8
枯,26543,9
枳,26547,9
架,26550,9
枷,26551,9
柄,26564,9
柏,26575,9
染,26579,9
柔,26580,9
柝,26589,9
柢,26594,9
柯,26607,9
柱,26609,9
柳,26611,9
栄,26628,9
栗,26647,10
校,26657,10
株,26666,10
栴,26676,10
根,26681,10
格,26684,10
桀,26688,11
桂,26690,10
桃,26691,10
案,26696,10
桐,26704,10
桑,26705,10
桜,26716,10
桟,26719,10
桴,26740,11
梁,26753,11
梅,26757,11
梓,26771,11
梟,26783,11
梧,26791,11
梯,26799,11
械,26800,11
棄,26820,12
棊,26826,12
棋,26827,12
棒,26834,12
棗,26839,12
棘,26840,12
棟,26847,12
棠,26848,12
棣,26851,12
森,26862,12
棺,26874,12
椀,26880,12
椎,26894,12
検,26908,12
椽,26941,13
椿,26943,13
楊,26954,13
楚,26970,13
業,26989,13
楮,26990,13
極,26997,12
楼,27004,13
楽,27005,13
榑,27025,14
槁,27073,15
槃,27075,14
槍,27085,14
槐,27088,14
様,27096,14
槿,27135,15
樗,27159,15
模,27169,15
権,27177,15
横,27178,15
樸,27192,16
樹,27193,16
樽,27197,16
橋,27211,16
橘,27224,16
機,27231,16
橦,27238,16
檀,27264,17
檝,27293,17
檻,27323,18
櫛,27355,18
櫝,27357,19
櫟,27359,19
櫪,27370,20
欒,27410,23
欠,27424,4
次,27425,6
欣,27427,8
欲,27442,11
欺,27450,12
歌,27468,14
歎,27470,14
歓,27475,15
止,27490,4
正,27491,5
武,27494,8
歩,27497,8
歯,27503,11
歳,27507,14
歴,27508,14
死,27515,6
殃,27523,9
殉,27529,10
殊,27530,10
残,27531,10
殢,27554,15
段,27573,9
殷,27575,10
殺,27578,11
殿,27583,13
毀,27584,13
毅,27589,15
毋,27595,4
母,27597,5
毒,27602,9
比,27604,4
毛,27611,4
毫,27627,11
氏,27663,4
民,27665,5
気,27671,6
水,27700,4
氷,27703,5
永,27704,5
氾,27710,5
汀,27712,5
求,27714,6
汎,27726,6
汗,27735,6
汚,27738,6
江,27743,6
池,27744,6
汨,27752,7
汰,27760,7
汲,27762,7
決,27770,7
沃,27779,7
沈,27784,8
沌,27788,7
沐,27792,7
沙,27801,7
沛,27803,7
没,27809,7
沢,27810,7
沫,27819,8
沱,27825,8
河,27827,8
沸,27832,8
油,27833,8
治,27835,8
泉,27849,9
泊,27850,8
法,27861,8
泛,27867,8
泡,27873,8
波,27874,8
泣,27875,8
泥,27877,8
注,27880,8
泰,27888,9
泳,27891,8
洋,27915,9
洒,27922,9
洗,27927,9
洛,27931,9
洞,27934,9
津,27941,10
洪,27946,9
洶,27958,9
活,27963,9
洽,27965,9
派,27966,9
流,27969,10
浄,27972,9
浅,27973,9
浜,27996,10
浦,28006,10
浩,28009,10
浪,28010,10
浮,28014,10
浴,28020,10
海,28023,10
浸,28024,10
涅,28037,10
消,28040,10
涎,28046,11
涕,28053,10
涛,28059,10
涯,28079,11
液,28082,11
涵,28085,11
涸,28088,11
涼,28092,11
淆,28102,11
淋,28107,11
淑,28113,11
淘,28120,11
淡,28129,11
淫,28139,11
淮,28142,11
深,28145,11
淵,28149,13
混,28151,11
添,28155,11
清,28165,11
渇,28167,11
済,28168,11
渉,28169,11
渓,28179,11
減,28187,12
渟,28191,12
渠,28192,12
渡,28193,12
渦,28198,12
温,28201,12
渫,28203,12
測,28204,12
渭,28205,12
港,28207,11
游,28216,12
渺,28218,12
渾,28222,12
湖,28246,12
湘,28248,12
湛,28251,12
湧,28263,12
湯,28271,12
湾,28286,12
湿,28287,12
満,28288,12
溂,28290,12
溌,28300,12
源,28304,12
準,28310,13
溜,28316,13
溝,28317,13
溢,28322,13
溫,28331,13
溯,28335,13
溲,28338,12
溷,28343,13
滂,28354,13
滄,28356,13
滅,28357,13
滋,28363,13
滑,28369,13
滞,28382,13
滴,28404,14
滾,28414,14
漁,28417,14
漂,28418,14
漆,28422,14
漏,28431,14
漓,28435,14
演,28436,14
漠,28448,14
漢,28450,14
漣,28451,14
漫,28459,14
漱,28465,14
漸,28472,14
漿,28479,15
潁,28481,15
潔,28500,15
潜,28508,15
潢,28514,15
潤,28516,16
潮,28526,15
潰,28528,15
澆,28550,15
澹,28601,16
激,28608,16
濁,28609,16
濃,28611,16
濛,28635,16
濤,28644,17
濫,28651,18
濮,28654,17
濯,28655,17
瀉,28681,18
瀚,28698,19
瀝,28701,19
瀟,28703,19
瀬,28716,19
瀾,28734,19
灌,28748,21
灑,28753,22
灞,28766,24
火,28779,4
灯,28783,6
灰,28784,6
災,28797,8
炉,28809,8
炊,28810,8
炎,28814,8
炙,28825,8
炭,28845,9
炯,28847,9
点,28857,9
為,28858,9
烈,28872,10
烏,28879,10
烟,28895,10
烹,28921,11
焄,28932,11
焉,28937,11
焔,28948,11
焚,28954,12
無,28961,12
焦,28966,12
然,28982,12
焼,28988,12
煌,29004,13
煎,29006,13
煖,29014,13
煙,29017,13
煥,29029,13
煦,29030,13
照,29031,13
煩,29033,13
煮,29038,13
煽,29053,14
熙,29081,14
熟,29087,15
熱,29105,15
燃,29123,16
燎,29134,16
燕,29141,15
燥,29157,17
燦,29158,17
燭,29165,17
爛,29211,20
爨,29224,30
爪,29226,4
爬,29228,8
爵,29237,18
父,29238,4
爺,29242,13
爽,29245,11
爾,29246,14
牀,29248,7
牆,29254,16
片,29255,5
版,29256,8
牉,29257,9
牒,29266,13
牖,29270,15
牘,29272,19
牙,29273,5
牛,29275,4
牝,29277,6
牡,29281,7
牢,29282,7
牧,29287,8
物,29289,8
牲,29298,9
特,29305,10
牽,29309,11
犀,29312,12
犠,29344,17
犢,29346,19
犬,29356,4
犯,29359,6
状,29366,7
狂,29378,7
狄,29380,7
狐,29392,9
狗,29399,8
狡,29409,9
狩,29417,9
独,29420,9
狭,29421,9
狷,29431,9
狸,29432,10
狼,29436,10
狽,29437,10
猗,29463,11
猛,29467,11
猜,29468,11
猪,29482,12
猫,29483,12
献,29486,13
猴,29492,12
猿,29503,13
獄,29508,14
獅,29509,13
獣,29539,16
獲,29554,17
玄,29572,5
率,29575,11
玉,29577,4
王,29579,4
玩,29609,8
玲,29618,9
珊,29642,10
珍,29645,9
珠,29664,10
班,29677,10
現,29694,11
球,29699,11
琅,29701,11
理,29702,11
琢,29730,12
琦,29734,12
琳,29747,12
琴,29748,13
瑕,29781,13
瑚,29786,13
瑟,29791,13
瑠,29792,14
瑣,29795,14
瑩,29801,15
瑰,29808,14
瑶,29814,13
璃,29827,15
璞,29854,16
璧,29863,18
環,29872,17
瓊,29898,19
瓏,29903,20
瓜,29916,6
瓢,29922,17
瓦,29926,5
瓶,29942,11
甌,29964,16
甎,29966,14
甑,29969,17
甕,29973,18
甘,29976,5
甜,29980,11
生,29983,5
産,29987,11
用,29992,5
田,30000,5
由,30001,5
甲,30002,5
申,30003,5
男,30007,8
画,30011,8
界,30028,9
畏,30031,9
畔,30036,10
留,30041,9
畜,30044,10
畢,30050,11
略,30053,11
番,30058,12
異,30064,11
畳,30067,12
疆,30086,19
疇,30087,19
疎,30094,12
疏,30095,12
疐,30096,14
疑,30097,14
疣,30115,9
疲,30130,10
疵,30133,10
疽,30141,10
疾,30142,10
病,30149,10
症,30151,10
痍,30157,11
痒,30162,11
痔,30164,11
痕,30165,11
痛,30171,12
痩,30185,12
痼,30204,13
瘁,30209,13
瘠,30240,15
瘡,30241,15
瘢,30242,15
癥,30309,20
癸,30328,9
発,30330,9
登,30331,12
白,30333,5
百,30334,6
皁,30337,7
皆,30342,9
皇,30343,9
皎,30350,11
皐,30352,11
皓,30355,12
皙,30361,13
皮,30382,5
盃,30403,9
盆,30406,9
盈,30408,10
益,30410,11
盗,30423,11
盛,30427,12
盟,30431,13
盤,30436,15
盧,30439,16
目,30446,5
盲,30450,8
直,30452,9
相,30456,9
盾,30462,9
省,30465,9
眄,30468,9
眈,30472,9
眉,30473,9
看,30475,9
真,30495,10
眠,30496,10
眥,30501,10
眷,30519,11
眸,30520,11
眼,30524,11
着,30528,12
睚,30554,13
睛,30555,13
睡,30561,13
瞋,30603,15
瞑,30609,15
瞠,30624,16
瞭,30637,17
瞰,30640,17
瞳,30643,17
瞻,30651,18
矛,30683,5
矜,30684,9
矢,30690,5
矣,30691,7
知,30693,8
矩,30697,10
短,30701,12
矮,30702,13
矯,30703,17
石,30707,5
砂,30722,9
砕,30741,9
砥,30757,10
砧,30759,10
砲,30770,10
破,30772,10
硝,30813,12
硯,30831,12
碁,30849,13
碍,30861,13
碧,30887,14
碩,30889,14
確,30906,16
磊,30922,15
磋,30923,15
磐,30928,15
磑,30929,15
磨,30952,16
磬,30956,16
礙,31001,19
礨,31016,20
礪,31018,20
礫,31019,20
礱,31025,21
示,31034,5
礼,31036,6
社,31038,8
祇,31047,9
祈,31048,9
祖,31062,8
神,31070,10
祠,31072,10
祥,31077,11
祭,31085,11
祷,31095,11
禁,31105,13
禄,31108,13
禅,31109,13
禍,31117,13
福,31119,14
禦,31142,15
禹,31161,9
禽,31165,13
禾,31166,5
秀,31168,7
私,31169,7
秉,31177,8
秋,31179,9
科,31185,9
秘,31192,10
秦,31206,10
秩,31209,10
移,31227,11
稀,31232,12
程,31243,12
稗,31255,14
稚,31258,13
稜,31260,13
稠,31264,13
種,31278,14
稲,31282,14
稷,31287,15
稽,31293,14
穀,31296,15
穂,31298,16
穆,31302,16
積,31309,16
